Perijove,Observation,Image Mid-Time (UTC),"SC Distance (Io, km)","SC Altitude (Io, km)","SC Latitude (Io IAU, deg)","SC W Longitude (Io IAU, deg)","Sub-Solar Latitude (Io IAU, deg)","Sub-Solar W Longitude (Io IAU, deg)",Phase Angle,JIRAM scale (m/pixel),JunoCAM scale (m/pixel),North Clock Angle,PS North Clock Angle
PJ25,JIR_IMG_RDR_2020048T125701_V01,02/17/2020 12:56:58.674,201866.192,200049.371,57.367,256.889,-1.937,357.905,97.554,47565.139,134573.212,177.747,177.747
PJ25,JIR_IMG_RDR_2020048T125731_V01,02/17/2020 12:57:28.756,202039.268,200222.454,57.306,257.350,-1.937,357.976,97.354,47606.292,134689.645,178.085,178.085
PJ25,JIR_IMG_RDR_2020048T125801_V01,02/17/2020 12:57:58.845,202215.179,200398.370,57.243,257.809,-1.937,358.047,97.155,47648.119,134807.984,178.415,178.415
PJ25,JIR_IMG_RDR_2020048T125831_V01,02/17/2020 12:58:28.934,202393.866,200577.063,57.180,258.266,-1.937,358.117,96.956,47690.607,134928.191,178.744,178.744
PJ25,JIR_IMG_RDR_2020048T125901_V01,02/17/2020 12:58:59.024,202575.326,200758.528,57.115,258.720,-1.937,358.188,96.757,47733.753,135050.262,179.069,179.069
PJ25,JIR_IMG_RDR_2020048T125931_V01,02/17/2020 12:59:29.113,202759.541,200942.748,57.049,259.173,-1.937,358.259,96.558,47777.554,135174.186,179.394,179.394
PJ25,JIR_IMG_RDR_2020048T130001_V01,02/17/2020 12:59:59.202,202946.492,201129.703,56.982,259.623,-1.937,358.330,96.361,47822.006,135299.951,179.717,179.717
PJ25,JIR_IMG_RDR_2020048T130031_V01,02/17/2020 13:00:29.291,203136.169,201319.384,56.915,260.072,-1.937,358.401,96.163,47867.106,135427.550,180.039,-179.961
PJ25,JIR_IMG_RDR_2020048T130101_V01,02/17/2020 13:00:59.383,203328.597,201511.816,56.846,260.518,-1.937,358.471,95.966,47912.860,135556.998,180.357,-179.643
PJ25,JIR_IMG_RDR_2020048T130131_V01,02/17/2020 13:01:29.471,203523.695,201706.917,56.776,260.961,-1.937,358.542,95.769,47959.248,135688.243,180.676,-179.324
PJ25,JIR_IMG_RDR_2020048T130302_V01,02/17/2020 13:02:59.649,204124.559,202307.788,56.561,262.278,-1.937,358.754,95.183,48102.116,136092.449,181.639,-178.361
PJ25,JIR_IMG_RDR_2020048T130332_V01,02/17/2020 13:03:29.741,204330.390,202513.620,56.488,262.713,-1.937,358.825,94.988,48151.056,136230.912,181.945,-178.055
PJ25,JIR_IMG_RDR_2020048T130402_V01,02/17/2020 13:03:59.830,204538.862,202722.094,56.413,263.146,-1.937,358.896,94.793,48200.624,136371.153,182.251,-177.749
PJ25,JIR_IMG_RDR_2020048T130432_V01,02/17/2020 13:04:29.922,204749.978,202933.211,56.338,263.576,-1.937,358.967,94.599,48250.821,136513.171,182.554,-177.446
PJ25,JIR_IMG_RDR_2020048T130502_V01,02/17/2020 13:05:00.009,204963.698,203146.931,56.261,264.004,-1.937,359.038,94.406,48301.636,136656.940,182.857,-177.143
PJ25,JIR_IMG_RDR_2020048T130532_V01,02/17/2020 13:05:30.100,205180.043,203363.277,56.184,264.430,-1.937,359.108,94.212,48353.076,136802.476,183.157,-176.843
PJ25,JIR_IMG_RDR_2020048T130602_V01,02/17/2020 13:06:00.190,205398.997,203582.230,56.106,264.854,-1.937,359.179,94.020,48405.136,136949.766,183.456,-176.544
PJ25,JIR_IMG_RDR_2020048T130632_V01,02/17/2020 13:06:30.281,205620.530,203803.763,56.027,265.275,-1.937,359.250,93.828,48457.809,137098.791,183.753,-176.247
PJ25,JIR_IMG_RDR_2020048T130802_V01,02/17/2020 13:08:00.480,206299.999,204483.227,55.786,266.524,-1.937,359.462,93.254,48619.363,137555.867,184.620,-175.380
PJ25,JIR_IMG_RDR_2020048T130832_V01,02/17/2020 13:08:30.568,206531.732,204714.957,55.704,266.936,-1.937,359.533,93.064,48674.461,137711.752,184.908,-175.092
PJ25,JIR_IMG_RDR_2020048T130903_V01,02/17/2020 13:09:00.658,206766.021,204949.244,55.621,267.346,-1.937,359.604,92.874,48730.167,137869.356,185.194,-174.806
PJ25,JIR_IMG_RDR_2020048T130933_V01,02/17/2020 13:09:30.750,207002.823,205186.044,55.538,267.753,-1.937,359.675,92.685,48786.470,138028.652,185.478,-174.522
PJ25,JIR_IMG_RDR_2020048T131103_V01,02/17/2020 13:11:00.886,207727.076,205910.286,55.283,268.960,-1.937,359.887,92.120,48958.671,138515.849,186.265,-173.735
PJ25,JIR_IMG_RDR_2020048T131133_V01,02/17/2020 13:11:30.972,207973.746,206156.952,55.197,269.358,-1.937,359.957,91.933,49017.320,138681.782,186.535,-173.465
PJ25,JIR_IMG_RDR_2020048T131203_V01,02/17/2020 13:12:01.062,208222.908,206406.108,55.110,269.754,-1.937,0.028,91.746,49076.561,138849.389,186.806,-173.194
PJ25,JIR_IMG_RDR_2020048T131233_V01,02/17/2020 13:12:31.151,208474.507,206657.702,55.022,270.148,-1.937,0.099,91.560,49136.382,139018.636,187.075,-172.925
PJ25,JIR_IMG_RDR_2020048T131303_V01,02/17/2020 13:13:01.241,208728.530,206911.720,54.934,270.539,-1.937,0.170,91.374,49196.779,139189.514,187.343,-172.657
PJ25,JIR_IMG_RDR_2020048T131333_V01,02/17/2020 13:13:31.332,208984.966,207168.151,54.845,270.928,-1.937,0.241,91.188,49257.750,139362.015,187.608,-172.392
PJ25,JIR_IMG_RDR_2020048T131403_V01,02/17/2020 13:14:01.421,209243.793,207426.971,54.755,271.315,-1.937,0.311,91.003,49319.289,139536.123,187.872,-172.128
PJ25,JIR_IMG_RDR_2020048T131433_V01,02/17/2020 13:14:31.511,209505.023,207688.195,54.665,271.700,-1.937,0.382,90.819,49381.399,139711.849,188.136,-171.864
PJ25,JIR_IMG_RDR_2020048T215158_V01,02/17/2020 21:51:56.614,501302.838,499482.220,-50.807,340.452,-1.937,73.435,90.383,118760.389,336001.689,178.004,178.004
PJ25,JIR_IMG_RDR_2020048T215229_V01,02/17/2020 21:52:26.713,501793.343,499972.734,-50.831,340.342,-1.937,73.506,90.495,118877.017,336331.658,178.146,178.146
PJ25,JIR_IMG_RDR_2020048T215259_V01,02/17/2020 21:52:56.808,502285.074,500464.475,-50.854,340.233,-1.937,73.577,90.607,118993.937,336662.453,178.283,178.283
PJ25,JIR_IMG_RDR_2020048T215329_V01,02/17/2020 21:53:26.905,502778.125,500957.536,-50.877,340.124,-1.937,73.648,90.719,119111.170,336994.134,178.422,178.422
PJ25,JIR_IMG_RDR_2020048T215359_V01,02/17/2020 21:53:57.001,503272.457,501451.877,-50.899,340.015,-1.937,73.719,90.830,119228.709,337326.678,178.562,178.562
PJ25,JIR_IMG_RDR_2020048T215429_V01,02/17/2020 21:54:27.097,503768.049,501947.479,-50.921,339.907,-1.937,73.790,90.942,119346.546,337660.069,178.700,178.700
PJ25,JIR_IMG_RDR_2020048T215459_V01,02/17/2020 21:54:57.195,504264.929,502444.369,-50.943,339.798,-1.937,73.860,91.053,119464.690,337994.327,178.839,178.839
PJ25,JIR_IMG_RDR_2020048T215529_V01,02/17/2020 21:55:27.291,504763.059,502942.509,-50.965,339.690,-1.937,73.931,91.163,119583.131,338329.426,178.976,178.976
PJ25,JIR_IMG_RDR_2020048T215559_V01,02/17/2020 21:55:57.388,505262.468,503441.927,-50.986,339.582,-1.937,74.002,91.274,119701.877,338665.384,179.115,179.115
PJ25,JIR_IMG_RDR_2020048T215629_V01,02/17/2020 21:56:27.482,505763.100,503942.568,-51.007,339.474,-1.937,74.073,91.384,119820.913,339002.166,179.251,179.251
PJ25,JIR_IMG_RDR_2020048T215800_V01,02/17/2020 21:57:57.747,507272.135,505451.631,-51.068,339.151,-1.937,74.285,91.714,120179.718,340017.312,179.650,179.650
PJ25,JIR_IMG_RDR_2020048T215830_V01,02/17/2020 21:58:27.840,507777.710,505957.215,-51.087,339.044,-1.937,74.356,91.824,120299.929,340357.419,179.785,179.785
PJ25,JIR_IMG_RDR_2020048T215900_V01,02/17/2020 21:58:57.939,508284.618,506464.132,-51.107,338.937,-1.937,74.427,91.933,120420.457,340698.422,179.925,179.925
PJ25,JIR_IMG_RDR_2020048T215930_V01,02/17/2020 21:59:28.032,508792.670,506972.193,-51.126,338.831,-1.937,74.498,92.042,120541.257,341040.194,180.060,-179.940
PJ25,JIR_IMG_RDR_2020048T220000_V01,02/17/2020 21:59:58.129,509301.994,507481.526,-51.144,338.724,-1.937,74.569,92.151,120662.360,341382.823,180.197,-179.803
PJ25,JIR_IMG_RDR_2020048T220030_V01,02/17/2020 22:00:28.228,509812.554,507992.094,-51.163,338.618,-1.937,74.640,92.260,120783.756,341726.282,180.335,-179.665
PJ25,JIR_IMG_RDR_2020048T220100_V01,02/17/2020 22:00:58.323,510324.275,508503.825,-51.181,338.512,-1.937,74.710,92.368,120905.429,342070.523,180.470,-179.530
PJ25,JIR_IMG_RDR_2020048T220130_V01,02/17/2020 22:01:28.418,510837.221,509016.780,-51.199,338.406,-1.937,74.781,92.476,121027.393,342415.588,180.606,-179.394
PJ25,JIR_IMG_RDR_2020048T220301_V01,02/17/2020 22:02:58.687,512382.916,510562.501,-51.250,338.089,-1.937,74.994,92.800,121394.914,343455.394,181.007,-178.993
PJ25,JIR_IMG_RDR_2020048T220331_V01,02/17/2020 22:03:28.780,512900.612,511080.204,-51.267,337.984,-1.937,75.065,92.907,121518.007,343803.653,181.142,-178.858
PJ25,JIR_IMG_RDR_2020048T220401_V01,02/17/2020 22:03:58.877,513419.525,511599.126,-51.284,337.880,-1.937,75.135,93.014,121641.389,344152.732,181.277,-178.723
PJ25,JIR_IMG_RDR_2020048T220431_V01,02/17/2020 22:04:28.972,513939.601,512119.210,-51.300,337.775,-1.937,75.206,93.121,121765.048,344502.593,181.412,-178.588
PJ25,JIR_IMG_RDR_2020048T220501_V01,02/17/2020 22:04:59.069,514460.903,512640.521,-51.315,337.671,-1.937,75.277,93.228,121888.999,344853.278,181.548,-178.452
PJ25,JIR_IMG_RDR_2020048T220531_V01,02/17/2020 22:05:29.165,514983.340,513162.967,-51.331,337.567,-1.937,75.348,93.334,122013.219,345204.728,181.682,-178.318
PJ25,JIR_IMG_RDR_2020048T220601_V01,02/17/2020 22:05:59.263,515506.961,513686.595,-51.346,337.463,-1.937,75.419,93.441,122137.721,345556.972,181.817,-178.183
PJ25,JIR_IMG_RDR_2020048T220631_V01,02/17/2020 22:06:29.358,516031.724,514211.366,-51.361,337.359,-1.937,75.490,93.547,122262.494,345909.986,181.951,-178.049
PJ25,JIR_IMG_RDR_2020048T220832_V01,02/17/2020 22:08:29.720,518141.900,516321.574,-51.418,336.947,-1.937,75.773,93.969,122764.232,347329.523,182.485,-177.515
PJ25,JIR_IMG_RDR_2020048T220902_V01,02/17/2020 22:08:59.813,518672.341,516852.023,-51.432,336.844,-1.937,75.844,94.074,122890.355,347686.356,182.619,-177.381
PJ25,JIR_IMG_RDR_2020048T220932_V01,02/17/2020 22:09:29.910,519203.968,517383.658,-51.445,336.742,-1.937,75.914,94.179,123016.760,348043.987,182.753,-177.247
PJ25,JIR_IMG_RDR_2020048T221002_V01,02/17/2020 22:10:00.007,519736.740,517916.438,-51.458,336.640,-1.937,75.985,94.283,123143.438,348402.388,182.886,-177.114
PJ25,JIR_IMG_RDR_2020048T221032_V01,02/17/2020 22:10:30.103,520270.618,518450.323,-51.471,336.539,-1.937,76.056,94.388,123270.378,348761.533,183.019,-176.981
PJ25,JIR_IMG_RDR_2020048T221102_V01,02/17/2020 22:11:00.199,520805.614,518985.328,-51.483,336.437,-1.937,76.127,94.492,123397.584,349121.430,183.152,-176.848
PJ25,JIR_IMG_RDR_2020048T221132_V01,02/17/2020 22:11:30.297,521341.761,519521.481,-51.495,336.336,-1.937,76.198,94.596,123525.064,349482.101,183.284,-176.716
PJ25,JIR_IMG_RDR_2020048T221202_V01,02/17/2020 22:12:00.392,521878.963,520058.691,-51.507,336.235,-1.937,76.269,94.700,123652.795,349843.481,183.417,-176.583
PJ25,JIR_IMG_RDR_2020048T221603_V01,02/17/2020 22:16:01.083,526214.739,524394.526,-51.593,335.437,-1.937,76.835,95.522,124683.713,352760.197,184.489,-175.511
PJ25,JIR_IMG_RDR_2020048T221633_V01,02/17/2020 22:16:31.179,526761.738,524941.531,-51.602,335.339,-1.937,76.906,95.624,124813.773,353128.168,184.621,-175.379
PJ25,JIR_IMG_RDR_2020048T221703_V01,02/17/2020 22:17:01.276,527309.801,525489.602,-51.612,335.240,-1.937,76.977,95.725,124944.086,353496.855,184.753,-175.247
PJ25,JIR_IMG_RDR_2020048T221733_V01,02/17/2020 22:17:31.371,527858.925,526038.732,-51.621,335.142,-1.937,77.048,95.827,125074.651,353866.255,184.885,-175.115
PJ25,JIR_IMG_RDR_2020048T221803_V01,02/17/2020 22:18:01.467,528409.085,526588.899,-51.630,335.044,-1.937,77.119,95.928,125205.463,354236.352,185.016,-174.984
PJ25,JIR_IMG_RDR_2020048T221833_V01,02/17/2020 22:18:31.564,528960.333,527140.154,-51.638,334.947,-1.937,77.189,96.029,125336.533,354607.181,185.147,-174.853
PJ25,JIR_IMG_RDR_2020048T221904_V01,02/17/2020 22:19:01.661,529512.628,527692.455,-51.647,334.850,-1.937,77.260,96.130,125467.852,354978.715,185.278,-174.722
PJ25,JIR_IMG_RDR_2020048T222034_V01,02/17/2020 22:20:31.924,531175.232,529355.079,-51.670,334.560,-1.937,77.473,96.431,125863.169,356097.162,185.681,-174.319
PJ25,JIR_IMG_RDR_2020048T222104_V01,02/17/2020 22:21:02.019,531731.651,529911.505,-51.677,334.464,-1.937,77.543,96.531,125995.469,356471.469,185.812,-174.188
PJ25,JIR_IMG_RDR_2020048T222134_V01,02/17/2020 22:21:32.116,532289.113,530468.973,-51.685,334.368,-1.937,77.614,96.631,126128.016,356846.478,185.941,-174.059
PJ25,JIR_IMG_RDR_2020048T222204_V01,02/17/2020 22:22:02.213,532847.596,531027.462,-51.691,334.273,-1.937,77.685,96.730,126260.807,357222.174,186.071,-173.929
PJ25,JIR_IMG_RDR_2020048T222234_V01,02/17/2020 22:22:32.309,533407.058,531586.931,-51.698,334.177,-1.937,77.756,96.830,126393.830,357598.528,186.201,-173.799
PJ25,JIR_IMG_RDR_2020048T222304_V01,02/17/2020 22:23:02.406,533967.569,532147.448,-51.704,334.082,-1.937,77.827,96.929,126527.102,357975.588,186.330,-173.670
PJ25,JIR_IMG_RDR_2020048T222334_V01,02/17/2020 22:23:32.503,534529.087,532708.973,-51.711,333.988,-1.937,77.898,97.028,126660.614,358353.326,186.459,-173.541
PJ25,JIR_IMG_RDR_2020048T222404_V01,02/17/2020 22:24:02.597,535091.553,533271.445,-51.717,333.894,-1.937,77.969,97.126,126794.352,358731.701,186.589,-173.411
