Perijove,Time (UTC),SC Range to Io (km),SC Altitude (km),SC Latitude (deg),SC W Longitude (deg),Subsolar Latitude (deg),Subsolar W Longitude (deg),Sun-Io-SC Angle (deg),JIRAM scale (km/pixel),JunoCAM scale (km/pixel)
PJ62,06/13/2024 15:41:14.017,47709.0705,45891.6159,-63.3640,135.6992,2.9994,226.1453,92.8810,10.9115,30.8713
PJ62,06/13/2024 15:41:14.517,47697.6311,45880.1780,-63.3759,135.7001,2.9994,226.1465,92.8813,10.9088,30.8636
PJ62,06/13/2024 15:41:15.017,47686.1938,45868.7421,-63.3877,135.7011,2.9994,226.1477,92.8816,10.9061,30.8559
PJ62,06/13/2024 15:41:15.517,47674.7586,45857.3082,-63.3995,135.7020,2.9994,226.1489,92.8819,10.9034,30.8482
PJ62,06/13/2024 15:41:16.017,47663.3253,45845.8764,-63.4114,135.7030,2.9994,226.1500,92.8822,10.9006,30.8405
PJ62,06/13/2024 15:41:16.517,47651.8941,45834.4466,-63.4232,135.7040,2.9994,226.1512,92.8825,10.8979,30.8328
PJ62,06/13/2024 15:41:17.017,47640.4649,45823.0188,-63.4351,135.7049,2.9994,226.1524,92.8828,10.8952,30.8251
PJ62,06/13/2024 15:41:17.517,47629.0377,45811.5930,-63.4469,135.7059,2.9994,226.1536,92.8831,10.8925,30.8175
PJ62,06/13/2024 15:41:18.017,47617.6125,45800.1693,-63.4588,135.7068,2.9994,226.1548,92.8834,10.8898,30.8098
PJ62,06/13/2024 15:41:18.517,47606.1894,45788.7476,-63.4707,135.7078,2.9994,226.1559,92.8837,10.8871,30.8021
PJ62,06/13/2024 15:41:19.017,47594.7684,45777.3279,-63.4826,135.7087,2.9994,226.1571,92.8839,10.8843,30.7944
PJ62,06/13/2024 15:41:19.517,47583.3493,45765.9103,-63.4944,135.7097,2.9994,226.1583,92.8842,10.8816,30.7867
PJ62,06/13/2024 15:41:20.017,47571.9323,45754.4947,-63.5063,135.7107,2.9994,226.1595,92.8845,10.8789,30.7790
PJ62,06/13/2024 15:41:20.517,47560.5173,45743.0812,-63.5182,135.7116,2.9994,226.1606,92.8848,10.8762,30.7714
PJ62,06/13/2024 15:41:21.017,47549.1044,45731.6697,-63.5301,135.7126,2.9994,226.1618,92.8851,10.8735,30.7637
PJ62,06/13/2024 15:41:21.517,47537.6935,45720.2602,-63.5420,135.7135,2.9994,226.1630,92.8854,10.8708,30.7560
PJ62,06/13/2024 15:41:22.017,47526.2847,45708.8528,-63.5540,135.7145,2.9994,226.1642,92.8857,10.8681,30.7483
PJ62,06/13/2024 15:41:22.517,47514.8779,45697.4474,-63.5659,135.7154,2.9994,226.1654,92.8860,10.8653,30.7407
PJ62,06/13/2024 15:41:23.017,47503.4731,45686.0441,-63.5778,135.7164,2.9994,226.1665,92.8863,10.8626,30.7330
PJ62,06/13/2024 15:41:23.517,47492.0704,45674.6428,-63.5897,135.7173,2.9994,226.1677,92.8866,10.8599,30.7253
PJ62,06/13/2024 15:41:24.017,47480.6698,45663.2435,-63.6017,135.7183,2.9994,226.1689,92.8869,10.8572,30.7177
PJ62,06/13/2024 15:41:24.517,47469.2711,45651.8464,-63.6136,135.7192,2.9994,226.1701,92.8872,10.8545,30.7100
PJ62,06/13/2024 15:41:25.017,47457.8746,45640.4512,-63.6255,135.7202,2.9994,226.1712,92.8875,10.8518,30.7023
PJ62,06/13/2024 15:41:25.517,47446.4801,45629.0581,-63.6375,135.7212,2.9994,226.1724,92.8878,10.8491,30.6947
PJ62,06/13/2024 15:41:26.017,47435.0876,45617.6671,-63.6495,135.7221,2.9994,226.1736,92.8881,10.8464,30.6870
PJ62,06/13/2024 15:41:26.517,47423.6972,45606.2781,-63.6614,135.7231,2.9994,226.1748,92.8883,10.8437,30.6793
PJ62,06/13/2024 15:41:27.017,47412.3089,45594.8912,-63.6734,135.7240,2.9994,226.1760,92.8886,10.8410,30.6717
PJ62,06/13/2024 15:41:27.517,47400.9226,45583.5064,-63.6854,135.7250,2.9994,226.1771,92.8889,10.8383,30.6640
PJ62,06/13/2024 15:41:28.017,47389.5384,45572.1236,-63.6973,135.7259,2.9994,226.1783,92.8892,10.8355,30.6564
PJ62,06/13/2024 15:41:28.517,47378.1562,45560.7428,-63.7093,135.7269,2.9994,226.1795,92.8895,10.8328,30.6487
PJ62,06/13/2024 15:41:29.017,47366.7761,45549.3641,-63.7213,135.7278,2.9994,226.1807,92.8898,10.8301,30.6411
PJ62,06/13/2024 15:41:29.517,47355.3981,45537.9875,-63.7333,135.7288,2.9994,226.1818,92.8901,10.8274,30.6334
PJ62,06/13/2024 15:41:30.017,47344.0221,45526.6130,-63.7453,135.7297,2.9994,226.1830,92.8904,10.8247,30.6258
PJ62,06/13/2024 15:41:30.517,47332.6482,45515.2405,-63.7573,135.7307,2.9994,226.1842,92.8907,10.8220,30.6181
PJ62,06/13/2024 15:41:31.017,47321.2764,45503.8701,-63.7694,135.7316,2.9994,226.1854,92.8910,10.8193,30.6105
PJ62,06/13/2024 15:41:31.517,47309.9066,45492.5018,-63.7814,135.7326,2.9994,226.1866,92.8913,10.8166,30.6028
PJ62,06/13/2024 15:41:32.017,47298.5390,45481.1355,-63.7934,135.7335,2.9994,226.1877,92.8916,10.8139,30.5952
PJ62,06/13/2024 15:41:32.517,47287.1733,45469.7713,-63.8054,135.7345,2.9994,226.1889,92.8919,10.8112,30.5875
PJ62,06/13/2024 15:41:33.017,47275.8098,45458.4092,-63.8175,135.7354,2.9994,226.1901,92.8922,10.8085,30.5799
PJ62,06/13/2024 15:41:33.517,47264.4483,45447.0492,-63.8295,135.7364,2.9994,226.1913,92.8925,10.8058,30.5722
PJ62,06/13/2024 15:41:34.017,47253.0890,45435.6912,-63.8416,135.7373,2.9994,226.1924,92.8927,10.8031,30.5646
PJ62,06/13/2024 15:41:34.517,47241.7317,45424.3354,-63.8536,135.7383,2.9994,226.1936,92.8930,10.8004,30.5570
PJ62,06/13/2024 15:41:35.017,47230.3764,45412.9816,-63.8657,135.7392,2.9994,226.1948,92.8933,10.7977,30.5493
PJ62,06/13/2024 15:41:35.517,47219.0233,45401.6298,-63.8778,135.7402,2.9994,226.1960,92.8936,10.7950,30.5417
PJ62,06/13/2024 15:41:36.017,47207.6722,45390.2802,-63.8898,135.7411,2.9994,226.1972,92.8939,10.7923,30.5340
PJ62,06/13/2024 15:41:36.517,47196.3233,45378.9327,-63.9019,135.7421,2.9994,226.1983,92.8942,10.7896,30.5264
PJ62,06/13/2024 15:41:37.017,47184.9764,45367.5872,-63.9140,135.7430,2.9994,226.1995,92.8945,10.7869,30.5188
PJ62,06/13/2024 15:41:37.517,47173.6316,45356.2438,-63.9261,135.7440,2.9994,226.2007,92.8948,10.7842,30.5111
PJ62,06/13/2024 15:41:38.017,47162.2889,45344.9026,-63.9382,135.7449,2.9994,226.2019,92.8951,10.7815,30.5035
PJ62,06/13/2024 15:41:38.517,47150.9483,45333.5634,-63.9503,135.7459,2.9994,226.2030,92.8954,10.7788,30.4959
PJ62,06/13/2024 15:41:39.017,47139.6097,45322.2263,-63.9624,135.7468,2.9994,226.2042,92.8957,10.7761,30.4883
PJ62,06/13/2024 15:41:39.517,47128.2733,45310.8913,-63.9745,135.7477,2.9994,226.2054,92.8960,10.7734,30.4806
PJ62,06/13/2024 15:41:40.017,47116.9390,45299.5584,-63.9866,135.7487,2.9994,226.2066,92.8963,10.7707,30.4730
PJ62,06/13/2024 15:41:40.517,47105.6067,45288.2276,-63.9988,135.7496,2.9994,226.2078,92.8966,10.7680,30.4654
